sentiment,answer,cd,inn,prp,rb,rbr,rp,vbd,vbn,vbz,wp
Positivo,planting shade trees along city walks to reduce temp  changing roads from black asphalt to something lighter and less heat retaining ,-0.3630567356786221,-0.4760262442572625,-0.6004693000326412,-0.8771371912357834,2.587897052700993,1.8134833345005623,2.357256331220739,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Negativo,tucson for the most part is not walkable  what can be done to encourage less personal auto use while also looking at safety  i am astounded at the number of accidents with pedestrian involvement disgraceful ,-0.3630567356786221,1.4280787327717874,-0.6004693000326412,0.7530975884347637,-0.3155972015489016,-0.2462755145618048,0.2414750388079781,2.146489224461658,0.3405529787873639,3.0368111930480994
Positivo,"tree planting, green space, restrict new development that requires new water use",-0.3630567356786221,-1.4280787327717874,-0.6004693000326412,-0.8771371912357834,-0.3155972015489016,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,0.3405529787873639,-0.329292779969071
Positivo,"truly, it seems that vehicle pollution in tucson is a major problem affected the quality of air we breathe on a daily basis ",-0.3630567356786221,0.4760262442572625,-0.6004693000326412,-0.0620198014005098,-0.3155972015489016,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,1.4595127662315597,-0.329292779969071
Positivo,"encouraging and promoting alternative forms of ""green"" transportation throughout the city, and effectively marketing these alternatives, will help people to reach destinations, without polluting the environment ",-0.3630567356786221,0.0,-0.6004693000326412,-0.0620198014005098,-0.3155972015489016,-0.2462755145618048,3.4151469774271197,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Positivo,more walkable spaces  completely close some streets to cars  make bicycle and walking spaces the priority over vehicle traffic in many areas ,-0.3630567356786221,-0.4760262442572625,-0.6004693000326412,-0.0620198014005098,2.587897052700993,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Positivo,"support green job industries and training programs through adult education programs and jted cte, community college, and university courses ",-0.3630567356786221,-0.952052488514525,-0.6004693000326412,-0.8771371912357834,-0.3155972015489016,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Positivo,insulation community or city large scale solar rather than only on rooftops water efficiency programs to save on energy emissions for pumping and pools pretty much everything proposed by project drawdown  drawdown org ,-0.3630567356786221,0.952052488514525,-0.6004693000326412,2.3833323681053105,-0.3155972015489016,-0.2462755145618048,0.2414750388079781,2.146489224461658,-0.7784068086568318,-0.329292779969071
Positivo,fix all the streets and roads and then you can work on other stuff ,-0.3630567356786221,-0.952052488514525,-0.6004693000326412,0.7530975884347637,-0.3155972015489016,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Positivo,take care of the parks and recreation areas that you do not maintain ,-0.3630567356786221,-0.4760262442572625,-0.6004693000326412,-0.0620198014005098,-0.3155972015489016,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Positivo,stop doing feel good stuff and hire more police to take care of the poor service in tucson ,-0.3630567356786221,-0.4760262442572625,-0.6004693000326412,-0.8771371912357834,-0.3155972015489016,-0.2462755145618048,0.2414750388079781,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Positivo,"this is where all our money should go, improving tucson s quality of life ",-0.3630567356786221,-0.952052488514525,1.1258799375612023,-0.8771371912357834,-0.3155972015489016,-0.2462755145618048,0.2414750388079781,-0.6546030968216405,0.3405529787873639,-0.329292779969071
Positivo,"rain water catchment throughout urban landscape, in parks  to use for plant watering , at city buildings  for indoor water use , at golf courses, riverways ",-0.3630567356786221,1.4280787327717874,-0.6004693000326412,-0.8771371912357834,-0.3155972015489016,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Positivo,along major road corridors we could add solar roof tunnels to catch sun and divert rain to catchment sources  control personal home water use allowances ,-0.3630567356786221,-0.952052488514525,-0.6004693000326412,-0.8771371912357834,-0.3155972015489016,-0.2462755145618048,-0.8164156073984022,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
Negativo,fine for grass or landscaping water use incl at golf courses  we don t have enough water and need to be aggressive about protecting its usage  ,-0.3630567356786221,0.0,1.1258799375612023,-0.8771371912357834,-0.3155972015489016,-0.2462755145618048,0.2414750388079781,-0.6546030968216405,-0.7784068086568318,-0.329292779969071
